,Time,Open,High,Low,Close,Volume
262,1583020800000,8523.61,8559.23,8511.11,8552.76,180.951932
263,1583020860000,8555.3,8557.47,8532.4,8548.25,46.838208
264,1583020920000,8548.89,8573.0,8548.89,8553.39,75.235439
265,1583020980000,8553.27,8567.56,8551.38,8558.72,36.311044
266,1583021040000,8559.79,8575.8,8558.4,8575.73,33.668854
267,1583021100000,8575.8,8577.06,8563.04,8564.61,22.530623
268,1583021160000,8564.59,8585.0,8564.59,8579.88,43.28289
269,1583021220000,8578.45,8582.86,8571.21,8581.71,35.574574
270,1583021280000,8581.75,8595.0,8580.56,8592.16,41.176159
271,1583021340000,8593.94,8613.57,8589.59,8598.44,65.063688
272,1583021400000,8598.44,8600.0,8590.0,8590.62,50.947548
273,1583021460000,8591.35,8594.71,8581.24,8584.35,37.78708
274,1583021520000,8584.29,8590.0,8573.29,8585.0,41.486426
275,1583021580000,8584.98,8586.05,8575.79,8582.55,29.152574
276,1583021640000,8582.56,8583.16,8578.05,8582.92,30.250906
277,1583021700000,8581.91,8599.96,8579.77,8597.68,13.059945
278,1583021760000,8597.81,8599.66,8591.31,8598.61,31.79771
279,1583021820000,8599.57,8599.68,8590.43,8594.61,29.310202
280,1583021880000,8596.47,8596.9,8592.93,8592.93,36.906376
281,1583021940000,8592.93,8605.0,8592.93,8602.04,40.424186
282,1583022000000,8600.47,8601.06,8597.47,8598.49,36.091503
283,1583022060000,8598.49,8598.5,8580.26,8589.25,71.671647
284,1583022120000,8589.28,8591.46,8579.67,8586.97,25.645476
285,1583022180000,8586.1,8588.51,8582.02,8585.11,23.249224
286,1583022240000,8585.62,8588.98,8582.39,8586.33,21.068794
287,1583022300000,8586.32,8599.52,8585.96,8599.01,19.188246
288,1583022360000,8599.01,8608.87,8592.58,8603.68,42.704027
289,1583022420000,8603.68,8610.87,8601.68,8608.66,24.317365
290,1583022480000,8607.83,8609.82,8602.09,8605.51,33.616753
291,1583022540000,8605.51,8609.66,8603.05,8603.42,13.899577
292,1583022600000,8604.02,8604.93,8589.15,8604.02,26.478103
293,1583022660000,8603.45,8604.97,8593.65,8597.15,18.043845
294,1583022720000,8597.48,8600.0,8591.96,8592.31,26.761458
295,1583022780000,8592.17,8603.0,8592.17,8597.56,19.826821
296,1583022840000,8597.53,8602.93,8592.11,8595.86,12.892715
297,1583022900000,8597.48,8601.95,8591.14,8591.14,17.687525
298,1583022960000,8592.1,8592.84,8570.09,8572.22,28.497857
299,1583023020000,8571.69,8574.95,8565.71,8570.36,27.455577
300,1583023080000,8570.4,8578.74,8568.33,8577.1,27.450801
301,1583023140000,8576.27,8576.8,8570.99,8575.5,14.623625
302,1583023200000,8575.7,8577.94,8572.81,8574.48,11.927644
303,1583023260000,8573.59,8576.43,8572.78,8574.01,10.532656
304,1583023320000,8574.01,8575.0,8557.28,8560.81,26.10243
305,1583023380000,8562.49,8567.15,8555.3,8562.21,32.821511
306,1583023440000,8562.46,8566.75,8550.02,8556.25,57.586818
307,1583023500000,8556.25,8561.23,8546.1,8546.17,28.575081
308,1583023560000,8546.33,8552.19,8537.6,8538.82,48.762685
309,1583023620000,8538.53,8548.79,8535.0,8537.48,36.385291
310,1583023680000,8537.86,8543.08,8535.0,8541.23,28.426232
311,1583023740000,8541.92,8547.08,8541.01,8545.55,17.647771
312,1583023800000,8545.25,8549.54,8543.93,8544.35,17.73909
313,1583023860000,8545.18,8558.11,8544.1,8557.99,22.483169
314,1583023920000,8557.95,8568.12,8557.93,8566.63,29.849446
315,1583023980000,8568.12,8568.12,8556.56,8557.37,18.947349
316,1583024040000,8557.38,8559.09,8553.33,8554.51,15.922804
317,1583024100000,8554.55,8554.55,8544.53,8548.67,16.114438
318,1583024160000,8548.6,8548.99,8536.42,8542.05,20.965018
319,1583024220000,8540.56,8543.33,8537.96,8542.03,12.912034
320,1583024280000,8540.84,8546.55,8536.47,8539.63,30.131202
321,1583024340000,8538.27,8547.84,8538.0,8547.25,15.980548
322,1583024400000,8546.65,8547.57,8532.87,8538.87,24.082443
323,1583024460000,8539.39,8540.49,8520.0,8522.24,45.088308
324,1583024520000,8522.55,8537.5,8522.01,8532.2,33.314533
325,1583024580000,8531.83,8537.77,8525.0,8536.69,40.180746
326,1583024640000,8537.67,8551.04,8535.18,8549.99,23.509244
327,1583024700000,8551.04,8554.06,8548.44,8552.21,23.766572
328,1583024760000,8552.21,8553.78,8538.93,8540.89,24.245188
329,1583024820000,8540.44,8548.23,8538.64,8544.51,27.980522
330,1583024880000,8544.17,8548.96,8540.75,8543.16,14.849887
331,1583024940000,8543.22,8544.96,8528.25,8530.64,17.227672
332,1583025000000,8530.53,8535.23,8522.56,8532.52,22.171576
333,1583025060000,8532.52,8532.52,8520.4,8525.9,32.127542
334,1583025120000,8525.8,8525.8,8514.06,8517.49,68.942637
335,1583025180000,8518.39,8529.14,8516.07,8520.0,25.405779
336,1583025240000,8520.02,8522.56,8515.01,8521.07,51.265547
337,1583025300000,8521.14,8542.2,8516.76,8537.74,40.646197
338,1583025360000,8537.9,8545.33,8534.93,8536.83,21.676963
339,1583025420000,8536.27,8544.74,8535.69,8543.9,19.883889
340,1583025480000,8543.32,8548.83,8537.2,8546.99,20.443681
341,1583025540000,8546.63,8550.0,8543.65,8546.57,25.393432
342,1583025600000,8546.75,8551.92,8545.0,8550.72,23.604009
343,1583025660000,8551.75,8569.46,8550.67,8563.4,47.738095
344,1583025720000,8565.0,8569.45,8560.43,8563.48,30.167281
345,1583025780000,8563.48,8566.01,8551.19,8551.3,32.411949
346,1583025840000,8551.31,8560.2,8545.0,8558.57,27.703059
347,1583025900000,8556.49,8556.49,8542.25,8545.09,13.369471
348,1583025960000,8544.91,8546.51,8542.34,8543.08,6.102054
349,1583026020000,8543.01,8559.82,8543.01,8555.66,15.702579
350,1583026080000,8557.12,8568.88,8551.71,8566.03,21.794542
351,1583026140000,8567.0,8568.56,8559.44,8562.54,26.567102
352,1583026200000,8563.06,8566.31,8551.69,8551.81,17.586219
353,1583026260000,8552.06,8559.09,8543.37,8556.21,26.447626
354,1583026320000,8556.25,8556.25,8537.72,8544.75,49.965721
